# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.244787500000000093e-07	-2.117187499999984013e-02	-4.281250000000014211e-03	-1.312500000000049738e-03	3.984374999999873435e-04
6.245187500000000547e-07	-2.273437499999975131e-02	-4.140625000000008882e-03	1.093749999999948930e-03	-5.468750000000022204e-04
6.245587499999999942e-07	-3.124999999997157829e-04	-3.484374999999984013e-03	2.031249999999706901e-04	2.796875000000004219e-03
6.245987500000000395e-07	-1.914062499999991118e-02	-9.484374999999989342e-03	3.124999999999988898e-03	2.023437500000002665e-03
6.246387499999999790e-07	-3.921874999999985789e-02	-8.000000000000007105e-03	3.609374999999970246e-03	-7.109375000000084377e-04
6.246787500000000243e-07	-2.124999999999976907e-02	1.359374999999996003e-03	-3.140625000000007994e-03	2.656249999999915623e-04
6.247187500000000697e-07	-2.499999999999946709e-03	-1.859374999999996447e-03	2.515624999999965805e-03	2.703125000000000666e-03
6.247587500000000092e-07	-1.562500000000000000e-02	9.218750000000164313e-04	2.187499999999897859e-04	1.374999999999987343e-03
6.247987500000000545e-07	-4.453124999999946709e-03	-5.296874999999978684e-03	3.593749999999951150e-03	1.273437500000001998e-03
6.248387499999999940e-07	-2.757812499999978684e-02	-4.843749999999980016e-03	3.765624999999994671e-03	3.945312499999992228e-03
6.248787500000000394e-07	-4.929687500000001776e-02	-5.624999999999658051e-04	1.109374999999968026e-03	3.695312499999992006e-03
6.249187499999999788e-07	-1.093749999999893419e-03	-6.875000000000075495e-04	2.968749999999742428e-04	-5.234375000000013323e-04
6.249587500000000242e-07	1.875000000000071054e-03	1.765624999999992895e-03	6.828124999999962697e-03	-4.078125000000015765e-03
6.249987500000000696e-07	3.875000000000028422e-02	-4.437499999999983125e-03	5.218749999999994227e-03	-1.101562500000013989e-03
6.250387500000000090e-07	6.874999999999964473e-03	-9.109374999999975131e-03	2.031249999999706901e-04	2.085937499999995781e-03
6.250787500000000544e-07	-3.843749999999968026e-02	-3.296874999999976907e-03	-3.875000000000017319e-03	1.085937499999994893e-03
6.251187499999999939e-07	-2.257812499999989342e-02	-5.468750000000022204e-04	-7.953125000000005329e-03	-2.843750000000005995e-03
6.251587500000000392e-07	-2.640624999999996447e-02	4.531249999999986677e-03	3.656249999999972022e-03	-3.656249999999999778e-03
6.251987499999999787e-07	-2.507812499999984013e-02	-1.000000000000000888e-03	4.093749999999951594e-03	-1.242187500000019318e-03
6.252387500000000241e-07	-2.984374999999994671e-02	-3.249999999999975131e-03	5.234374999999957812e-03	1.484374999999871214e-04
6.252787500000000694e-07	-8.906249999999893419e-03	-3.468749999999964917e-03	1.249999999999973355e-03	2.734375000000011102e-04
6.253187500000000089e-07	-1.687499999999975131e-02	-5.624999999999991118e-03	-3.562500000000023981e-03	9.218749999999886757e-04
6.253587500000000543e-07	-9.140624999999680256e-03	-4.734375000000012879e-03	-2.781250000000012879e-03	-1.835937499999995559e-03
6.253987499999999937e-07	-1.390624999999978684e-02	1.296875000000030642e-03	-1.562500000000022204e-03	-1.007812500000010436e-03
6.254387500000000391e-07	-1.671874999999989342e-02	-1.031249999999983569e-03	-5.000000000000004441e-04	-1.757812500000011102e-03
6.254787499999999786e-07	-8.828124999999964473e-03	6.250000000002087219e-05	-6.953125000000004441e-03	8.437500000000042188e-04
6.255187500000000239e-07	-3.749999999999698019e-03	-4.156249999999972466e-03	-8.125000000000492939e-04	2.601562499999987566e-03
