# time (ps)	level	
3.750000000000000000e+04	0.000000000000000000e+00
3.762500000000000000e+04	0.000000000000000000e+00
3.775000000000000000e+04	0.000000000000000000e+00
3.787500000000000000e+04	0.000000000000000000e+00
3.800000000000000000e+04	0.000000000000000000e+00
3.812500000000000000e+04	0.000000000000000000e+00
3.825000000000000000e+04	0.000000000000000000e+00
3.837500000000000000e+04	0.000000000000000000e+00
3.850000000000000000e+04	0.000000000000000000e+00
3.862500000000000000e+04	0.000000000000000000e+00
3.875000000000000000e+04	0.000000000000000000e+00
3.887500000000000000e+04	0.000000000000000000e+00
3.900000000000000000e+04	0.000000000000000000e+00
3.912500000000000000e+04	0.000000000000000000e+00
3.925000000000000000e+04	0.000000000000000000e+00
3.937500000000000000e+04	0.000000000000000000e+00
3.950000000000000000e+04	0.000000000000000000e+00
3.962500000000000000e+04	0.000000000000000000e+00
3.975000000000000000e+04	0.000000000000000000e+00
3.987500000000000000e+04	0.000000000000000000e+00
4.000000000000000000e+04	0.000000000000000000e+00
4.012500000000000000e+04	0.000000000000000000e+00
4.025000000000000000e+04	0.000000000000000000e+00
4.037500000000000000e+04	0.000000000000000000e+00
4.050000000000000000e+04	0.000000000000000000e+00
4.062500000000000000e+04	0.000000000000000000e+00
4.075000000000000000e+04	0.000000000000000000e+00
4.087500000000000000e+04	0.000000000000000000e+00
4.100000000000000000e+04	0.000000000000000000e+00
4.112500000000000000e+04	0.000000000000000000e+00
4.125000000000000000e+04	0.000000000000000000e+00
4.137500000000000000e+04	0.000000000000000000e+00
4.150000000000000000e+04	0.000000000000000000e+00
4.162500000000000000e+04	0.000000000000000000e+00
4.175000000000000000e+04	0.000000000000000000e+00
4.187500000000000000e+04	0.000000000000000000e+00
4.200000000000000000e+04	0.000000000000000000e+00
4.212500000000000000e+04	0.000000000000000000e+00
4.225000000000000000e+04	0.000000000000000000e+00
4.237500000000000000e+04	0.000000000000000000e+00
4.250000000000000000e+04	0.000000000000000000e+00
4.262500000000000000e+04	0.000000000000000000e+00
4.275000000000000000e+04	0.000000000000000000e+00
4.287500000000000000e+04	0.000000000000000000e+00
4.300000000000000000e+04	0.000000000000000000e+00
4.312500000000000000e+04	0.000000000000000000e+00
4.325000000000000000e+04	0.000000000000000000e+00
4.337500000000000000e+04	0.000000000000000000e+00
4.350000000000000000e+04	0.000000000000000000e+00
4.362500000000000000e+04	0.000000000000000000e+00
4.375000000000000000e+04	0.000000000000000000e+00
4.387500000000000000e+04	0.000000000000000000e+00
4.400000000000000000e+04	0.000000000000000000e+00
4.412500000000000000e+04	0.000000000000000000e+00
4.425000000000000000e+04	0.000000000000000000e+00
4.437500000000000000e+04	0.000000000000000000e+00
4.450000000000000000e+04	0.000000000000000000e+00
4.462500000000000000e+04	0.000000000000000000e+00
4.475000000000000000e+04	0.000000000000000000e+00
4.487500000000000000e+04	0.000000000000000000e+00
4.500000000000000000e+04	0.000000000000000000e+00
4.512500000000000000e+04	0.000000000000000000e+00
4.525000000000000000e+04	0.000000000000000000e+00
4.537500000000000000e+04	0.000000000000000000e+00
4.550000000000000000e+04	0.000000000000000000e+00
4.562500000000000000e+04	0.000000000000000000e+00
4.575000000000000000e+04	0.000000000000000000e+00
4.587500000000000000e+04	0.000000000000000000e+00
4.600000000000000000e+04	0.000000000000000000e+00
4.612500000000000000e+04	0.000000000000000000e+00
4.625000000000000000e+04	0.000000000000000000e+00
4.637500000000000000e+04	0.000000000000000000e+00
4.650000000000000000e+04	0.000000000000000000e+00
4.662500000000000000e+04	0.000000000000000000e+00
4.675000000000000000e+04	0.000000000000000000e+00
4.687500000000000000e+04	0.000000000000000000e+00
4.700000000000000000e+04	0.000000000000000000e+00
4.712500000000000000e+04	0.000000000000000000e+00
4.725000000000000000e+04	0.000000000000000000e+00
4.737500000000000000e+04	0.000000000000000000e+00
4.750000000000000000e+04	0.000000000000000000e+00
4.762500000000000000e+04	0.000000000000000000e+00
4.775000000000000000e+04	0.000000000000000000e+00
4.787500000000000000e+04	0.000000000000000000e+00
4.800000000000000000e+04	0.000000000000000000e+00
4.812500000000000000e+04	0.000000000000000000e+00
4.825000000000000000e+04	0.000000000000000000e+00
4.837500000000000000e+04	0.000000000000000000e+00
4.850000000000000000e+04	0.000000000000000000e+00
4.862500000000000000e+04	0.000000000000000000e+00
4.875000000000000000e+04	0.000000000000000000e+00
4.887500000000000000e+04	0.000000000000000000e+00
4.900000000000000000e+04	0.000000000000000000e+00
4.912500000000000000e+04	0.000000000000000000e+00
4.925000000000000000e+04	0.000000000000000000e+00
4.937500000000000000e+04	0.000000000000000000e+00
4.950000000000000000e+04	0.000000000000000000e+00
4.962500000000000000e+04	0.000000000000000000e+00
4.975000000000000000e+04	0.000000000000000000e+00
4.987500000000000000e+04	0.000000000000000000e+00
5.000000000000000000e+04	0.000000000000000000e+00
5.012500000000000000e+04	0.000000000000000000e+00
5.025000000000000000e+04	0.000000000000000000e+00
5.037500000000000000e+04	0.000000000000000000e+00
5.050000000000000000e+04	0.000000000000000000e+00
5.062500000000000000e+04	0.000000000000000000e+00
5.075000000000000000e+04	0.000000000000000000e+00
